rank,investor,fund,fit_score,stage_fit,sector_fit,geo_fit,momentum,why_now,warm_paths,urls,email_draft
1,Sarah Guo,Conviction,100.0,1.0,1.0,1.0,1.0,"stage aligns, sector overlap, geo fit, recent activity",Podcast appearance; Mutual via portfolio overlap,https://www.conviction.com/,"Subject: Intro —  × Conviction  Hi Sarah,  I'm building  — . Why you: Conviction invests at pre-seed, seed, series-a in ai, infrastructure, developer tools, security. stage aligns, sector overlap, geo fit, recent activity   Quick hits: early traction with design partners. We're raising None. Open to a 15-min intro next week?  —  team"
2,Lightspeed Venture Partners,Lightspeed,100.0,1.0,1.0,1.0,1.0,"stage aligns, sector overlap, geo fit, recent activity",Operator network,https://lsvp.com/,"Subject: Intro —  × Lightspeed  Hi Lightspeed,  I'm building  — . Why you: Lightspeed invests at seed, series-a, series-b in ai, saas, infra, security. stage aligns, sector overlap, geo fit, recent activity   Quick hits: early traction with design partners. We're raising None. Open to a 15-min intro next week?  —  team"
3,Aiseedfund,Aiseedfund,95.0,1.0,1.0,1.0,0.5,"stage aligns, sector overlap, geo fit",,https://aiseedfund.com/,"Subject: Intro —  × Aiseedfund  Hi Aiseedfund,  I'm building  — . Why you: Aiseedfund invests at seed in ai. stage aligns, sector overlap, geo fit   Quick hits: early traction with design partners. We're raising None. Open to a 15-min intro next week?  —  team"
4,Bain Capital Ventures,Bain Capital Ventures,95.0,1.0,1.0,1.0,0.5,"stage aligns, sector overlap, geo fit",,https://signal.nfx.com/investor-lists/top-ai-seed-investors,"Subject: Intro —  × Bain Capital Ventures  Hi Bain,  I'm building  — . Why you: Bain Capital Ventures invests at seed in ai. stage aligns, sector overlap, geo fit   Quick hits: early traction with design partners. We're raising None. Open to a 15-min intro next week?  —  team"
5,Vcsheet,Vcsheet,95.0,1.0,1.0,1.0,0.5,"stage aligns, sector overlap, geo fit",,https://www.vcsheet.com/sheet/ai-funds,"Subject: Intro —  × Vcsheet  Hi Vcsheet,  I'm building  — . Why you: Vcsheet invests at seed in ai. stage aligns, sector overlap, geo fit   Quick hits: early traction with design partners. We're raising None. Open to a 15-min intro next week?  —  team"
6,Sequoia Capital,Sequoia Capital,95.0,1.0,1.0,1.0,0.5,"stage aligns, sector overlap, geo fit",,https://www.banyan-vc.com/insights/top-ai-pre-seed-investors,"Subject: Intro —  × Sequoia Capital  Hi Sequoia,  I'm building  — . Why you: Sequoia Capital invests at seed in ai. stage aligns, sector overlap, geo fit   Quick hits: early traction with design partners. We're raising None. Open to a 15-min intro next week?  —  team"
7,The Top AI Investors & VC,The Top AI Investors & VC,95.0,1.0,1.0,1.0,0.5,"stage aligns, sector overlap, geo fit",,https://www.openvc.app/investor-lists/ai-investors,"Subject: Intro —  × The Top AI Investors & VC  Hi The,  I'm building  — . Why you: The Top AI Investors & VC invests at seed in ai. stage aligns, sector overlap, geo fit   Quick hits: early traction with design partners. We're raising None. Open to a 15-min intro next week?  —  team"
8,Discover top AI investors and VC,Discover top AI investors and VC,95.0,1.0,1.0,1.0,0.5,"stage aligns, sector overlap, geo fit",,https://www.openvc.app/investor-lists/ai-investors,"Subject: Intro —  × Discover top AI investors and VC  Hi Discover,  I'm building  — . Why you: Discover top AI investors and VC invests at seed in ai. stage aligns, sector overlap, geo fit   Quick hits: early traction with design partners. We're raising None. Open to a 15-min intro next week?  —  team"
9,Venture Capital,Venture Capital,95.0,1.0,1.0,1.0,0.5,"stage aligns, sector overlap, geo fit",,https://www.rho.co/blog/vcs-in-ai,"Subject: Intro —  × Venture Capital  Hi Venture,  I'm building  — . Why you: Venture Capital invests at seed in ai. stage aligns, sector overlap, geo fit   Quick hits: early traction with design partners. We're raising None. Open to a 15-min intro next week?  —  team"
10,Bee Partners,Bee Partners,95.0,1.0,1.0,1.0,0.5,"stage aligns, sector overlap, geo fit",,https://www.rho.co/blog/vcs-in-ai,"Subject: Intro —  × Bee Partners  Hi Bee,  I'm building  — . Why you: Bee Partners invests at seed in ai. stage aligns, sector overlap, geo fit   Quick hits: early traction with design partners. We're raising None. Open to a 15-min intro next week?  —  team"
11,Look AI Ventures,Look AI Ventures,95.0,1.0,1.0,1.0,0.5,"stage aligns, sector overlap, geo fit",,https://lookai.vc/,"Subject: Intro —  × Look AI Ventures  Hi Look,  I'm building  — . Why you: Look AI Ventures invests at seed in ai. stage aligns, sector overlap, geo fit   Quick hits: early traction with design partners. We're raising None. Open to a 15-min intro next week?  —  team"
12,Crunchbase,Crunchbase,95.0,1.0,1.0,1.0,0.5,"stage aligns, sector overlap, geo fit",,https://www.crunchbase.com/hub/artificial-intelligence-companies-seed-funding,"Subject: Intro —  × Crunchbase  Hi Crunchbase,  I'm building  — . Why you: Crunchbase invests at seed in ai. stage aligns, sector overlap, geo fit   Quick hits: early traction with design partners. We're raising None. Open to a 15-min intro next week?  —  team"
13,Seedtable,Seedtable,95.0,1.0,1.0,1.0,0.5,"stage aligns, sector overlap, geo fit",,https://www.seedtable.com/investors-ai,"Subject: Intro —  × Seedtable  Hi Seedtable,  I'm building  — . Why you: Seedtable invests at seed in ai. stage aligns, sector overlap, geo fit   Quick hits: early traction with design partners. We're raising None. Open to a 15-min intro next week?  —  team"
14,Investors & VC,Investors & VC,95.0,1.0,1.0,1.0,0.5,"stage aligns, sector overlap, geo fit",,https://vc-mapping.gilion.com/venture-capital-firms/ai-investors,"Subject: Intro —  × Investors & VC  Hi Investors,  I'm building  — . Why you: Investors & VC invests at seed in ai. stage aligns, sector overlap, geo fit   Quick hits: early traction with design partners. We're raising None. Open to a 15-min intro next week?  —  team"
15,Top investors include Sequoia Capital,Top investors include Sequoia Capital,95.0,1.0,1.0,1.0,0.5,"stage aligns, sector overlap, geo fit",,https://vc-mapping.gilion.com/venture-capital-firms/ai-investors,"Subject: Intro —  × Top investors include Sequoia Capital  Hi Top,  I'm building  — . Why you: Top investors include Sequoia Capital invests at seed in ai. stage aligns, sector overlap, geo fit   Quick hits: early traction with design partners. We're raising None. Open to a 15-min intro next week?  —  team"
16,Index Ventures,Index Ventures,95.0,1.0,1.0,1.0,0.5,"stage aligns, sector overlap, geo fit",,https://vc-mapping.gilion.com/venture-capital-firms/ai-investors,"Subject: Intro —  × Index Ventures  Hi Index,  I'm building  — . Why you: Index Ventures invests at seed in ai. stage aligns, sector overlap, geo fit   Quick hits: early traction with design partners. We're raising None. Open to a 15-min intro next week?  —  team"
17,AME Cloud Ventures,AME Cloud Ventures,95.0,1.0,1.0,1.0,0.5,"stage aligns, sector overlap, geo fit",,https://www.vcsheet.com/sheet/ai-funds,"Subject: Intro —  × AME Cloud Ventures  Hi AME,  I'm building  — . Why you: AME Cloud Ventures invests at seed in ai. stage aligns, sector overlap, geo fit   Quick hits: early traction with design partners. We're raising None. Open to a 15-min intro next week?  —  team"
18,Sequoia Seed Team,Sequoia Capital,95.0,1.0,1.0,1.0,0.5,"stage aligns, sector overlap, geo fit",Founder alumni network,https://www.sequoiacap.com/,"Subject: Intro —  × Sequoia Capital  Hi Sequoia,  I'm building  — . Why you: Sequoia Capital invests at seed, series-a in ai, enterprise, infra, fintech. stage aligns, sector overlap, geo fit   Quick hits: early traction with design partners. We're raising None. Open to a 15-min intro next week?  —  team"
